"titre","date_soumission","porteur_projet","destinataire","resume_projet","objectifs_projet","description_projet","localisation","beneficiaires","budget_previsionnel","conclusion"
"Projet de Biométrie #28","25/03/2024","TechnoPlus","Ministère de l'Économie","Ce projet vise à renforcer le secteur de biométrie dans la région de Kisangani.","Améliorer les conditions dans le domaine de biométrie pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Kinshasa","populations urbaines","27699 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Éducation #29","22/12/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de éducation dans la région de Goma.","Améliorer les conditions dans le domaine de éducation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Kinshasa","femmes rurales","55784 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #30","16/06/2024","AGRI-DEV","Investisseurs Privés","Ce projet vise à renforcer le secteur de construction dans la région de Bukavu.","Améliorer les conditions dans le domaine de construction pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","populations urbaines","181194 USD","Il nécessite un soutien technique et financier."
"Projet de Éducation #31","11/03/2025","StartUp RDC","Ministère de l'Économie","Ce projet vise à renforcer le secteur de éducation dans la région de Kisangani.","Améliorer les conditions dans le domaine de éducation pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Goma","jeunes diplômés","18692 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Sante #32","16/07/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de sante dans la région de Goma.","Améliorer les conditions dans le domaine de sante pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Mbuji-Mayi","PME locales","163630 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Fintech #33","26/02/2024","Kabasele Group","ONG Partenaire","Ce projet vise à renforcer le secteur de fintech dans la région de Kisangani.","Améliorer les conditions dans le domaine de fintech pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Mbuji-Mayi","femmes rurales","103210 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #34","12/02/2024","Femmes d'Impact","Ministère de l'Économie","Ce projet vise à renforcer le secteur de tourisme dans la région de Kisangani.","Améliorer les conditions dans le domaine de tourisme pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Bukavu","centres de santé","36568 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Formation #35","02/01/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de formation dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de formation pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Bukavu","jeunes diplômés","63729 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Formation #36","26/09/2024","Jeunes Entrepreneurs Kin","Ministère de l'Économie","Ce projet vise à renforcer le secteur de formation dans la région de Matadi.","Améliorer les conditions dans le domaine de formation pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Mbuji-Mayi","PME locales","8920 USD","Nous espérons un accompagnement stratégique."
"Projet de Agriculture #37","18/03/2025","Green Congo","Emergence SARL","Ce projet vise à renforcer le secteur de agriculture dans la région de Matadi.","Améliorer les conditions dans le domaine de agriculture pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Kisangani","femmes rurales","145433 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Énergie #38","21/07/2024","Green Congo","Emergence SARL","Ce projet vise à renforcer le secteur de énergie dans la région de Matadi.","Améliorer les conditions dans le domaine de énergie pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans énergie.","Kisangani","PME locales","45679 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Formation #39","01/10/2024","TechnoPlus","ONG Partenaire","Ce projet vise à renforcer le secteur de formation dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de formation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Lubumbashi","centres de santé","100034 USD","Il nécessite un soutien technique et financier."
"Projet de Construction #40","14/01/2024","Jeunes Entrepreneurs Kin","Investisseurs Privés","Ce projet vise à renforcer le secteur de construction dans la région de Goma.","Améliorer les conditions dans le domaine de construction pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Matadi","étudiants","42250 USD","Il nécessite un soutien technique et financier."
"Projet de Tourisme #41","19/05/2024","TechnoPlus","ONG Partenaire","Ce projet vise à renforcer le secteur de tourisme dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de tourisme pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Matadi","centres de santé","190026 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #42","14/03/2025","TechnoPlus","Ministère de l'Économie","Ce projet vise à renforcer le secteur de construction dans la région de Matadi.","Améliorer les conditions dans le domaine de construction pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","jeunes diplômés","146760 USD","Il nécessite un soutien technique et financier."
"Projet de Construction #43","16/07/2024","StartUp RDC","Incubateur Émergence","Ce projet vise à renforcer le secteur de construction dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de construction pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Kisangani","étudiants","61326 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #44","09/03/2024","Médicorp","Incubateur Émergence","Ce projet vise à renforcer le secteur de tourisme dans la région de Kinshasa.","Améliorer les conditions dans le domaine de tourisme pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Bukavu","centres de santé","139334 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #45","20/11/2024","Médicorp","Ministère de l'Économie","Ce projet vise à renforcer le secteur de tourisme dans la région de Goma.","Améliorer les conditions dans le domaine de tourisme pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Kisangani","femmes rurales","92384 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Construction #46","16/06/2024","AGRI-DEV","Emergence SARL","Ce projet vise à renforcer le secteur de construction dans la région de Matadi.","Améliorer les conditions dans le domaine de construction pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","PME locales","7876 USD","Nous espérons un accompagnement stratégique."
"Projet de Biométrie #47","13/06/2024","Jeunes Entrepreneurs Kin","ONG Partenaire","Ce projet vise à renforcer le secteur de biométrie dans la région de Matadi.","Améliorer les conditions dans le domaine de biométrie pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Bukavu","étudiants","183068 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Fintech #48","22/02/2024","Kabasele Group","Emergence SARL","Ce projet vise à renforcer le secteur de fintech dans la région de Goma.","Améliorer les conditions dans le domaine de fintech pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Kisangani","femmes rurales","60585 USD","Il nécessite un soutien technique et financier."
"Projet de Agriculture #49","10/08/2024","Médicorp","Investisseurs Privés","Ce projet vise à renforcer le secteur de agriculture dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de agriculture pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Bukavu","populations urbaines","161348 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Agriculture #50","25/06/2024","TechnoPlus","Ministère de l'Économie","Ce projet vise à renforcer le secteur de agriculture dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de agriculture pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Bukavu","populations urbaines","71704 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Agriculture #51","25/07/2024","Femmes d'Impact","Ministère de l'Économie","Ce projet vise à renforcer le secteur de agriculture dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de agriculture pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Bukavu","populations urbaines","76250 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Agriculture #52","07/10/2024","Jeunes Entrepreneurs Kin","Incubateur Émergence","Ce projet vise à renforcer le secteur de agriculture dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de agriculture pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Kinshasa","PME locales","127678 USD","Il nécessite un soutien technique et financier."
"Projet de Éducation #53","19/12/2024","Green Congo","Investisseurs Privés","Ce projet vise à renforcer le secteur de éducation dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de éducation pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Lubumbashi","populations urbaines","48394 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Fintech #54","18/05/2024","TechnoPlus","ONG Partenaire","Ce projet vise à renforcer le secteur de fintech dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de fintech pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Bukavu","femmes rurales","131111 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Éducation #55","31/08/2024","Jeunes Entrepreneurs Kin","Incubateur Émergence","Ce projet vise à renforcer le secteur de éducation dans la région de Kisangani.","Améliorer les conditions dans le domaine de éducation pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Bukavu","jeunes diplômés","119588 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Biométrie #56","12/10/2024","Femmes d'Impact","Investisseurs Privés","Ce projet vise à renforcer le secteur de biométrie dans la région de Kinshasa.","Améliorer les conditions dans le domaine de biométrie pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Goma","PME locales","14525 USD","Nous espérons un accompagnement stratégique."
"Projet de Biométrie #57","25/06/2024","Jeunes Entrepreneurs Kin","Emergence SARL","Ce projet vise à renforcer le secteur de biométrie dans la région de Kisangani.","Améliorer les conditions dans le domaine de biométrie pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Bukavu","PME locales","87539 USD","Il nécessite un soutien technique et financier."
"Projet de Agriculture #58","18/04/2024","TechnoPlus","Emergence SARL","Ce projet vise à renforcer le secteur de agriculture dans la région de Matadi.","Améliorer les conditions dans le domaine de agriculture pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Lubumbashi","femmes rurales","130706 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Ntic #59","01/05/2024","Médicorp","ONG Partenaire","Ce projet vise à renforcer le secteur de ntic dans la région de Bukavu.","Améliorer les conditions dans le domaine de ntic pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Kinshasa","centres de santé","18446 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Ntic #60","20/11/2024","Femmes d'Impact","Incubateur Émergence","Ce projet vise à renforcer le secteur de ntic dans la région de Goma.","Améliorer les conditions dans le domaine de ntic pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Lubumbashi","centres de santé","21041 USD","Il nécessite un soutien technique et financier."
"Projet de Tourisme #61","29/01/2025","Jeunes Entrepreneurs Kin","Investisseurs Privés","Ce projet vise à renforcer le secteur de tourisme dans la région de Goma.","Améliorer les conditions dans le domaine de tourisme pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Goma","étudiants","173863 USD","Nous espérons un accompagnement stratégique."
"Projet de Construction #62","10/06/2024","Médicorp","ONG Partenaire","Ce projet vise à renforcer le secteur de construction dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de construction pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","jeunes diplômés","153808 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #63","30/05/2024","Kabasele Group","Incubateur Émergence","Ce projet vise à renforcer le secteur de construction dans la région de Kinshasa.","Améliorer les conditions dans le domaine de construction pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Goma","étudiants","21501 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Biométrie #64","18/10/2024","StartUp RDC","Investisseurs Privés","Ce projet vise à renforcer le secteur de biométrie dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de biométrie pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Matadi","étudiants","6100 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Éducation #65","09/12/2024","Green Congo","ONG Partenaire","Ce projet vise à renforcer le secteur de éducation dans la région de Goma.","Améliorer les conditions dans le domaine de éducation pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Kisangani","PME locales","193707 USD","Il nécessite un soutien technique et financier."
"Projet de Sante #66","25/10/2024","Médicorp","ONG Partenaire","Ce projet vise à renforcer le secteur de sante dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de sante pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Lubumbashi","PME locales","141703 USD","Nous espérons un accompagnement stratégique."
"Projet de Fintech #67","25/08/2024","Femmes d'Impact","ONG Partenaire","Ce projet vise à renforcer le secteur de fintech dans la région de Bukavu.","Améliorer les conditions dans le domaine de fintech pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Goma","centres de santé","127148 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Formation #68","14/05/2024","Jeunes Entrepreneurs Kin","ONG Partenaire","Ce projet vise à renforcer le secteur de formation dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de formation pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Goma","jeunes diplômés","18922 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Construction #69","27/04/2024","Green Congo","Ministère de l'Économie","Ce projet vise à renforcer le secteur de construction dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de construction pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","femmes rurales","68745 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Fintech #70","17/12/2024","Jeunes Entrepreneurs Kin","ONG Partenaire","Ce projet vise à renforcer le secteur de fintech dans la région de Kinshasa.","Améliorer les conditions dans le domaine de fintech pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Kisangani","PME locales","19184 USD","Nous espérons un accompagnement stratégique."
"Projet de Construction #71","09/11/2024","AGRI-DEV","Ministère de l'Économie","Ce projet vise à renforcer le secteur de construction dans la région de Bukavu.","Améliorer les conditions dans le domaine de construction pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Mbuji-Mayi","populations urbaines","153755 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Énergie #72","18/04/2025","Green Congo","Investisseurs Privés","Ce projet vise à renforcer le secteur de énergie dans la région de Kisangani.","Améliorer les conditions dans le domaine de énergie pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans énergie.","Kinshasa","femmes rurales","152122 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Formation #73","03/02/2024","Médicorp","ONG Partenaire","Ce projet vise à renforcer le secteur de formation dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de formation pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Bukavu","étudiants","91469 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Agriculture #74","10/04/2025","Médicorp","Emergence SARL","Ce projet vise à renforcer le secteur de agriculture dans la région de Kisangani.","Améliorer les conditions dans le domaine de agriculture pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Goma","PME locales","146314 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Tourisme #75","27/09/2024","Kabasele Group","Emergence SARL","Ce projet vise à renforcer le secteur de tourisme dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de tourisme pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Kinshasa","jeunes diplômés","112352 USD","Il nécessite un soutien technique et financier."
"Projet de Construction #76","19/04/2025","Médicorp","Incubateur Émergence","Ce projet vise à renforcer le secteur de construction dans la région de Goma.","Améliorer les conditions dans le domaine de construction pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Kinshasa","PME locales","177592 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Tourisme #77","20/02/2025","TechnoPlus","Emergence SARL","Ce projet vise à renforcer le secteur de tourisme dans la région de Matadi.","Améliorer les conditions dans le domaine de tourisme pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Lubumbashi","jeunes diplômés","138330 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Sante #78","24/09/2024","Kabasele Group","Incubateur Émergence","Ce projet vise à renforcer le secteur de sante dans la région de Bukavu.","Améliorer les conditions dans le domaine de sante pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Kisangani","étudiants","142656 USD","Nous espérons un accompagnement stratégique."
"Projet de Sante #79","24/01/2024","Médicorp","ONG Partenaire","Ce projet vise à renforcer le secteur de sante dans la région de Kinshasa.","Améliorer les conditions dans le domaine de sante pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Kinshasa","jeunes diplômés","185657 USD","Il nécessite un soutien technique et financier."
"Projet de Sante #80","14/10/2024","Femmes d'Impact","Incubateur Émergence","Ce projet vise à renforcer le secteur de sante dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de sante pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Bukavu","PME locales","98005 USD","Il nécessite un soutien technique et financier."
