titre,date_soumission,porteur_projet,destinataire,resume_projet,objectifs_projet,description_projet,localisation,beneficiaires,budget_previsionnel,conclusion
Projet Transport #22,2025-06-29,Organisation Transport 22,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur transport à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Kinshasa.,Kinshasa,6795 bénéficiaires,64688 USD,Ce projet contribuera significativement au développement du secteur transport à Kinshasa.
Projet Environnement #23,2025-06-18,Organisation Environnement 23,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Kikwit.,Kikwit,3300 bénéficiaires,60016 USD,Ce projet contribuera significativement au développement du secteur environnement à Kikwit.
Projet Construction #24,2025-06-08,Organisation Construction 24,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur construction à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Tshikapa.,Tshikapa,3157 bénéficiaires,70412 USD,Ce projet contribuera significativement au développement du secteur construction à Tshikapa.
Projet Construction #25,2025-06-15,Organisation Construction 25,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur construction à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Lubumbashi.,Lubumbashi,9768 bénéficiaires,37662 USD,Ce projet contribuera significativement au développement du secteur construction à Lubumbashi.
Projet Commerce #26,2025-06-24,Organisation Commerce 26,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Kinshasa.,Kinshasa,7285 bénéficiaires,76595 USD,Ce projet contribuera significativement au développement du secteur commerce à Kinshasa.
Projet Énergie #27,2025-06-01,Organisation Énergie 27,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Kananga.,Kananga,5621 bénéficiaires,53233 USD,Ce projet contribuera significativement au développement du secteur énergie à Kananga.
Projet Transport #28,2025-06-11,Organisation Transport 28,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur transport à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Kikwit.,Kikwit,5225 bénéficiaires,80270 USD,Ce projet contribuera significativement au développement du secteur transport à Kikwit.
Projet Santé #29,2025-06-04,Organisation Santé 29,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur santé à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Kinshasa.,Kinshasa,7828 bénéficiaires,43395 USD,Ce projet contribuera significativement au développement du secteur santé à Kinshasa.
Projet Commerce #30,2025-06-22,Organisation Commerce 30,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Goma.,Goma,7830 bénéficiaires,59555 USD,Ce projet contribuera significativement au développement du secteur commerce à Goma.
Projet Énergie #31,2025-06-14,Organisation Énergie 31,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Bukavu.,Bukavu,2635 bénéficiaires,83310 USD,Ce projet contribuera significativement au développement du secteur énergie à Bukavu.
Projet Agriculture #32,2025-06-17,Organisation Agriculture 32,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Kinshasa.,Kinshasa,3728 bénéficiaires,98315 USD,Ce projet contribuera significativement au développement du secteur agriculture à Kinshasa.
Projet Énergie #33,2025-06-22,Organisation Énergie 33,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Mbuji-Mayi.,Mbuji-Mayi,2719 bénéficiaires,57920 USD,Ce projet contribuera significativement au développement du secteur énergie à Mbuji-Mayi.
Projet Agriculture #34,2025-06-15,Organisation Agriculture 34,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Mbuji-Mayi.,Mbuji-Mayi,6538 bénéficiaires,24051 USD,Ce projet contribuera significativement au développement du secteur agriculture à Mbuji-Mayi.
Projet Environnement #35,2025-06-05,Organisation Environnement 35,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Tshikapa.,Tshikapa,2119 bénéficiaires,62717 USD,Ce projet contribuera significativement au développement du secteur environnement à Tshikapa.
Projet Agriculture #36,2025-06-26,Organisation Agriculture 36,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Tshikapa.,Tshikapa,5589 bénéficiaires,73651 USD,Ce projet contribuera significativement au développement du secteur agriculture à Tshikapa.
Projet Tourisme #37,2025-06-16,Organisation Tourisme 37,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,4102 bénéficiaires,99307 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Commerce #38,2025-06-19,Organisation Commerce 38,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Goma.,Goma,7704 bénéficiaires,27303 USD,Ce projet contribuera significativement au développement du secteur commerce à Goma.
Projet Construction #39,2025-06-17,Organisation Construction 39,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur construction à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Mbuji-Mayi.,Mbuji-Mayi,7393 bénéficiaires,32744 USD,Ce projet contribuera significativement au développement du secteur construction à Mbuji-Mayi.
Projet Transport #40,2025-06-28,Organisation Transport 40,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur transport à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Lubumbashi.,Lubumbashi,2520 bénéficiaires,57565 USD,Ce projet contribuera significativement au développement du secteur transport à Lubumbashi.
Projet Santé #41,2025-06-29,Organisation Santé 41,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur santé à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Lubumbashi.,Lubumbashi,7700 bénéficiaires,85876 USD,Ce projet contribuera significativement au développement du secteur santé à Lubumbashi.
Projet Santé #42,2025-06-12,Organisation Santé 42,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur santé à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Matadi.,Matadi,4025 bénéficiaires,96588 USD,Ce projet contribuera significativement au développement du secteur santé à Matadi.
Projet Éducation #43,2025-06-29,Organisation Éducation 43,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Kinshasa.,Kinshasa,7850 bénéficiaires,50271 USD,Ce projet contribuera significativement au développement du secteur éducation à Kinshasa.
Projet Énergie #44,2025-06-20,Organisation Énergie 44,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Lubumbashi.,Lubumbashi,6955 bénéficiaires,62285 USD,Ce projet contribuera significativement au développement du secteur énergie à Lubumbashi.
Projet Transport #45,2025-06-11,Organisation Transport 45,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur transport à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Kisangani.,Kisangani,9394 bénéficiaires,26076 USD,Ce projet contribuera significativement au développement du secteur transport à Kisangani.
Projet Santé #46,2025-06-13,Organisation Santé 46,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur santé à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Kananga.,Kananga,4892 bénéficiaires,52511 USD,Ce projet contribuera significativement au développement du secteur santé à Kananga.
Projet Tourisme #47,2025-06-11,Organisation Tourisme 47,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Kisangani.,Kisangani,5699 bénéficiaires,73692 USD,Ce projet contribuera significativement au développement du secteur tourisme à Kisangani.
Projet Commerce #48,2025-06-13,Organisation Commerce 48,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Kinshasa.,Kinshasa,5429 bénéficiaires,50497 USD,Ce projet contribuera significativement au développement du secteur commerce à Kinshasa.
Projet Énergie #49,2025-06-12,Organisation Énergie 49,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Kananga.,Kananga,9492 bénéficiaires,96916 USD,Ce projet contribuera significativement au développement du secteur énergie à Kananga.
Projet Énergie #50,2025-06-15,Organisation Énergie 50,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Matadi.,Matadi,4980 bénéficiaires,41413 USD,Ce projet contribuera significativement au développement du secteur énergie à Matadi.
Projet Tourisme #51,2025-06-15,Organisation Tourisme 51,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,7976 bénéficiaires,89865 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Santé #52,2025-06-18,Organisation Santé 52,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur santé à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Lubumbashi.,Lubumbashi,3976 bénéficiaires,94386 USD,Ce projet contribuera significativement au développement du secteur santé à Lubumbashi.
Projet Énergie #53,2025-06-17,Organisation Énergie 53,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Lubumbashi.,Lubumbashi,1226 bénéficiaires,45787 USD,Ce projet contribuera significativement au développement du secteur énergie à Lubumbashi.
Projet Transport #54,2025-06-27,Organisation Transport 54,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur transport à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Kananga.,Kananga,2113 bénéficiaires,71388 USD,Ce projet contribuera significativement au développement du secteur transport à Kananga.
Projet Tourisme #55,2025-06-28,Organisation Tourisme 55,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Kinshasa.,Kinshasa,2439 bénéficiaires,56099 USD,Ce projet contribuera significativement au développement du secteur tourisme à Kinshasa.
Projet Environnement #56,2025-06-10,Organisation Environnement 56,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Mbuji-Mayi.,Mbuji-Mayi,3201 bénéficiaires,86464 USD,Ce projet contribuera significativement au développement du secteur environnement à Mbuji-Mayi.
Projet Environnement #57,2025-06-19,Organisation Environnement 57,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Goma.,Goma,9341 bénéficiaires,34298 USD,Ce projet contribuera significativement au développement du secteur environnement à Goma.
Projet Agriculture #58,2025-06-20,Organisation Agriculture 58,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Mbuji-Mayi.,Mbuji-Mayi,9230 bénéficiaires,36813 USD,Ce projet contribuera significativement au développement du secteur agriculture à Mbuji-Mayi.
Projet Énergie #59,2025-06-13,Organisation Énergie 59,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Lubumbashi.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Lubumbashi.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Lubumbashi.,Lubumbashi,1097 bénéficiaires,90140 USD,Ce projet contribuera significativement au développement du secteur énergie à Lubumbashi.
Projet Construction #60,2025-06-10,Organisation Construction 60,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur construction à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Kisangani.,Kisangani,5101 bénéficiaires,76720 USD,Ce projet contribuera significativement au développement du secteur construction à Kisangani.
Projet Santé #61,2025-06-06,Organisation Santé 61,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur santé à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Kananga.,Kananga,5248 bénéficiaires,95916 USD,Ce projet contribuera significativement au développement du secteur santé à Kananga.
Projet Finance #62,2025-06-11,Organisation Finance 62,Emergence SARL,Résumé du projet dans le domaine finance pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur finance à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine finance à Kikwit.,Kikwit,2200 bénéficiaires,28087 USD,Ce projet contribuera significativement au développement du secteur finance à Kikwit.
Projet Finance #63,2025-06-03,Organisation Finance 63,Emergence SARL,Résumé du projet dans le domaine finance pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur finance à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine finance à Tshikapa.,Tshikapa,1743 bénéficiaires,28769 USD,Ce projet contribuera significativement au développement du secteur finance à Tshikapa.
Projet Éducation #64,2025-06-11,Organisation Éducation 64,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Bukavu.,Bukavu,3016 bénéficiaires,42962 USD,Ce projet contribuera significativement au développement du secteur éducation à Bukavu.
Projet Environnement #65,2025-07-01,Organisation Environnement 65,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Kisangani.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Kisangani.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Kisangani.,Kisangani,8906 bénéficiaires,35898 USD,Ce projet contribuera significativement au développement du secteur environnement à Kisangani.
Projet Tourisme #66,2025-06-19,Organisation Tourisme 66,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,9551 bénéficiaires,99397 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
Projet Transport #67,2025-06-18,Organisation Transport 67,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur transport à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Bukavu.,Bukavu,8012 bénéficiaires,82315 USD,Ce projet contribuera significativement au développement du secteur transport à Bukavu.
Projet Éducation #68,2025-06-30,Organisation Éducation 68,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Goma.,Goma,2425 bénéficiaires,25402 USD,Ce projet contribuera significativement au développement du secteur éducation à Goma.
Projet Transport #69,2025-06-22,Organisation Transport 69,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur transport à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Bukavu.,Bukavu,9651 bénéficiaires,90799 USD,Ce projet contribuera significativement au développement du secteur transport à Bukavu.
Projet Santé #70,2025-06-07,Organisation Santé 70,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur santé à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Goma.,Goma,2711 bénéficiaires,20749 USD,Ce projet contribuera significativement au développement du secteur santé à Goma.
Projet Agriculture #71,2025-06-07,Organisation Agriculture 71,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Kananga.,Kananga,8582 bénéficiaires,43843 USD,Ce projet contribuera significativement au développement du secteur agriculture à Kananga.
Projet Tourisme #72,2025-06-16,Organisation Tourisme 72,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Bukavu.,Bukavu,3733 bénéficiaires,97949 USD,Ce projet contribuera significativement au développement du secteur tourisme à Bukavu.
